Species,River,Site,Quadrat,Live,Dead
A. plicata,Sabine,1,1,,
A. plicata,Sabine,1,2,,
A. plicata,Sabine,1,3,,
A. plicata,Sabine,1,4,,
A. plicata,Sabine,1,5,,
A. plicata,Sabine,1,6,,
A. plicata,Sabine,1,7,,
A. plicata,Sabine,1,8,,
A. plicata,Sabine,1,9,,
A. plicata,Sabine,1,1,,
A. plicata,Sabine,1,11,,
A. plicata,Sabine,1,12,,
A. plicata,Sabine,1,13,,
A. plicata,Sabine,1,14,,
A. plicata,Sabine,1,15,,
A. plicata,Sabine,1,16,,
A. plicata,Sabine,1,17,,
A. plicata,Sabine,1,18,,
A. plicata,Sabine,1,19,,
A. plicata,Sabine,1,2,,
A. plicata,Sabine,1,21,,
A. plicata,Sabine,1,22,,
A. plicata,Sabine,1,23,,
A. plicata,Sabine,1,24,,
A. plicata,Sabine,1,25,,
A. plicata,Sabine,1,26,,
A. plicata,Sabine,1,27,,
A. suborbiculta,Sabine,1,1,,
A. suborbiculta,Sabine,1,2,,
A. suborbiculta,Sabine,1,3,,
A. suborbiculta,Sabine,1,4,,
A. suborbiculta,Sabine,1,5,,
A. suborbiculta,Sabine,1,6,,
A. suborbiculta,Sabine,1,7,,
A. suborbiculta,Sabine,1,8,,
A. suborbiculta,Sabine,1,9,,
A. suborbiculta,Sabine,1,1,,
A. suborbiculta,Sabine,1,11,,
A. suborbiculta,Sabine,1,12,,
A. suborbiculta,Sabine,1,13,,
A. suborbiculta,Sabine,1,14,,
A. suborbiculta,Sabine,1,15,,
A. suborbiculta,Sabine,1,16,,
A. suborbiculta,Sabine,1,17,,
A. suborbiculta,Sabine,1,18,,
A. suborbiculta,Sabine,1,19,,
A. suborbiculta,Sabine,1,2,,
A. suborbiculta,Sabine,1,21,,
A. suborbiculta,Sabine,1,22,,
A. suborbiculta,Sabine,1,23,,
A. suborbiculta,Sabine,1,24,,
A. suborbiculta,Sabine,1,25,,
A. suborbiculta,Sabine,1,26,,
A. suborbiculta,Sabine,1,27,,
A. confragosus,Sabine,1,1,,
A. confragosus,Sabine,1,2,,
A. confragosus,Sabine,1,3,,
A. confragosus,Sabine,1,4,,
