Species,River,Length,Heigth,Width,Status,Site
F. askewi,Sabine,61.6,52.8,37,Live,1
F. askewi,Sabine,69.4,56.7,44.5,Live,1
F. askewi,Sabine,31,22,13.5,Live,1
F. askewi,Sabine,30.1,22.3,14.6,Live,1
F. askewi,Sabine,62.7,54.4,38,Live,1
F. askewi,Sabine,71.1,55.5,37.2,Live,1
F. askewi,Sabine,40.5,30,26.35,Live,1
F. askewi,Sabine,66.6,53.7,38.3,Live,1
F. askewi,Sabine,82.2,64.5,45.1,Live,1
F. askewi,Sabine,59.8,34.4,45,Live,1
F. askewi,Sabine,45,33.1,26.2,Live,1
F. askewi,Sabine,50.9,40.2,28.9,Live,1
F. askewi,Sabine,52.6,47,35,Live,1
F. askewi,Sabine,61.6,46,35,Live,1
F. askewi,Sabine,44.3,33.65,23.3,Live,1
F. askewi,Sabine,65,50.9,35,Live,1
F. askewi,Sabine,85,60.9,45.5,Live,1
F. askewi,Sabine,50.9,40.4,31.2,Live,1
F. askewi,Sabine,68.7,56.5,41.1,Live,1
F. askewi,Sabine,36,20,17,Live,1
F. askewi,Sabine,12,11.1,5,Live,1
F. askewi,Sabine,67.7,50.1,36.2,Live,1
F. askewi,Sabine,38,25.75,17.7,Live,1
F. askewi,Sabine,28.4,24.4,10.1,Live,1
F. askewi,Sabine,53.8,40,34,Live,1
F. askewi,Sabine,40,28,16.7,Live,1
F. askewi,Sabine,61.1,47.2,33.8,Live,1
F. askewi,Sabine,58.4,40.6,31.6,Live,1
F. askewi,Sabine,67.6,43.3,28.8,Live,1
F. askewi,Sabine,65.5,47.2,34,Live,1
F. askewi,Sabine,59.4,41.2,28.3,Live,1
F. askewi,Sabine,61.1,51.1,31.6,Live,1
F. askewi,Sabine,69.1,49.4,32.3,Live,1
F. askewi,Sabine,63.8,45,30,Live,1
F. askewi,Sabine,52.05,44.9,36.6,Live,1
F. askewi,Sabine,44,32.2,20.6,Live,1
F. askewi,Sabine,53.8,43.8,30.1,Live,1
F. askewi,Sabine,30.1,22.3,16,Live,1
F. askewi,Sabine,42.3,17.55,17.3,Live,2
F. askewi,Sabine,14.8,9.9,3.8,Live,2
F. askewi,Sabine,58.15,43.8,30.6,Live,2
F. askewi,Sabine,66.6,43.8,31.6,Live,2
F. askewi,Sabine,60.5,45.5,29.4,Live,2
F. askewi,Sabine,65.1,45.1,35.3,Live,2
F. askewi,Sabine,60.1,49.1,34.5,Live,2
F. askewi,Sabine,44.6,32.3,24,Live,2
F. askewi,Sabine,33.8,26.2,15.5,Live,2
F. askewi,Sabine,17.7,10.7,10.2,Live,2
F. askewi,Sabine,14.8,8.3,4.8,Live,2
F. askewi,Sabine,64.4,44.3,31.1,Live,2
F. askewi,Sabine,37.95,28.45,14.7,Live,2
F. askewi,Sabine,57.2,45.4,30.4,Live,2
F. askewi,Sabine,66.1,49.4,34.4,Live,2
F. askewi,Sabine,36.2,28.4,14.6,Live,2
F. askewi,Sabine,30.2,22.4,12.2,Live,2
F. askewi,Sabine,54,43.3,28.4,Live,2
F. askewi,Sabine,42.3,31.1,17.7,Live,2
F. askewi,Sabine,47.2,36.2,27,Live,2
F. askewi,Sabine,64,42.05,34.4,Live,2
F. askewi,Sabine,66.7,50.5,38.15,Live,2
F. askewi,Sabine,41.3,32.2,19.65,Live,2
F. askewi,Sabine,52.05,44,31.1,Live,2
F. askewi,Sabine,74.55,50.5,37.2,Live,2
F. askewi,Sabine,40.1,32.3,18.15,Live,2
F. askewi,Sabine,56.1,45.1,31.1,Live,2
F. askewi,Sabine,79.4,57.7,53,Live,2
F. askewi,Sabine,36,28.3,17.1,Live,2
F. askewi,Sabine,43,31.2,20,Live,2
F. askewi,Sabine,65.75,46.2,30.5,Live,2
F. askewi,Sabine,57.2,45,31.1,Live,2
F. askewi,Sabine,52.2,40,29.2,Live,2
F. askewi,Sabine,60.1,57.2,22.3,Live,2
F. askewi,Sabine,50,30,19.4,Live,2
F. askewi,Sabine,52.2,39,33.3,Live,2
F. askewi,Sabine,35,28.3,18.15,Live,2
F. askewi,Sabine,38,29.4,22.3,Live,2
F. askewi,Sabine,42.1,28.9,19.4,Live,2
F. askewi,Sabine,62.05,48.8,33.3,Live,2
F. askewi,Sabine,42,34.4,21.6,Live,2
F. askewi,Sabine,59.15,45.5,32.3,Live,2
F. askewi,Sabine,52.5,38,25.2,Live,2
F. askewi,Sabine,41,30,17.2,Live,2
F. askewi,Sabine,73.3,55.3,40,Live,2
F. askewi,Sabine,41,38.3,20.1,Live,2
F. askewi,Sabine,52.05,45,32.5,Live,2
F. askewi,Sabine,54,44,25,Live,2
