Species,Site,Length,Status,River,
F. askewi,1,59.4,Live,Sabine,
F. askewi,1,16.1,Live,Sabine,
F. askewi,1,39.65,Live,Sabine,
F. askewi,1,70,Live,Sabine,
F. askewi,1,55,Live,Sabine,
F. askewi,1,55.9,Live,Sabine,
F. askewi,1,70,Live,Sabine,
F. askewi,1,65.5,Live,Sabine,
F. askewi,1,66.6,Live,Sabine,
F. askewi,1,30.1,Live,Sabine,
F. askewi,1,37.1,Live,Sabine,
F. askewi,1,64.4,Live,Sabine,
F. askewi,1,69.15,Live,Sabine,
F. askewi,1,53.8,Live,Sabine,
F. askewi,1,70.9,Live,Sabine,
F. askewi,1,42,Live,Sabine,
F. askewi,1,55.5,Live,Sabine,
F. askewi,1,71.1,Live,Sabine,
F. askewi,1,67.2,Live,Sabine,
F. askewi,1,47.2,Live,Sabine,
F. askewi,1,66,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,41.1,Live,Sabine,
F. askewi,1,39,Live,Sabine,
F. askewi,1,37,Live,Sabine,
F. askewi,1,44,Live,Sabine,
F. askewi,1,60.2,Live,Sabine,
F. askewi,1,60,Live,Sabine,
F. askewi,1,69.4,Live,Sabine,
F. askewi,1,61.2,Live,Sabine,
F. askewi,1,62.3,Live,Sabine,
F. askewi,1,63.3,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,61.2,Live,Sabine,
F. askewi,1,54,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,57.3,Live,Sabine,
F. askewi,1,54.3,Live,Sabine,
F. askewi,1,43.3,Live,Sabine,
F. askewi,1,59.4,Live,Sabine,
F. askewi,1,43.3,Live,Sabine,
F. askewi,1,64.4,Live,Sabine,
F. askewi,1,58.9,Live,Sabine,
F. askewi,1,62.3,Live,Sabine,
F. askewi,1,70.2,Live,Sabine,
F. askewi,1,42.2,Live,Sabine,
F. askewi,1,46.2,Live,Sabine,
F. askewi,1,57.3,Live,Sabine,
F. askewi,1,39.4,Live,Sabine,
F. askewi,1,42.2,Live,Sabine,
F. askewi,1,67.2,Live,Sabine,
F. askewi,1,31.1,Live,Sabine,
F. askewi,1,26.2,Live,Sabine,
F. askewi,1,46.1,Live,Sabine,
F. askewi,1,65,Live,Sabine,
F. askewi,1,45.5,Live,Sabine,
